var,count,mean,std,min,1%,5%,25%,50%,75%,95%,99%,max,skew,kurt,industry
M1_star,115.0,0.3018809931169403,1.2874891917419757,-1.1165055431015076,-1.1013477592653567,-0.9208165389987369,-0.4219224154588933,0.0278881223514454,0.5461288034762867,2.5232176747524955,6.025865535807442,6.316307799949835,2.604900399518743,8.539764183179424,动漫
M2_star,115.0,0.16486964316494968,1.189461523774901,-1.9417797579648348,-1.7130955260652843,-1.2107305680667573,-0.5838774901607249,-0.0677007755385607,0.5950856620190061,2.7851585077025853,4.171296262787001,4.506783752829735,1.3948846888999056,2.4015560158888265,动漫
Y_star,115.0,0.28786027604733927,1.0981325096364944,-1.1210428663263825,-1.0534364256461213,-0.8587368873745849,-0.35903594648781567,0.0476025323786465,0.5072407284344924,2.3641114014649935,4.968205828357912,5.794138695599402,2.546322964652431,8.82306703039361,动漫
Y,115.0,-0.15764954884803004,0.8705974556862641,-1.344648992750478,-1.344648992750478,-1.344648992750478,-0.868140581688198,-0.3534821048526417,0.3833533872620182,1.652324858285649,1.652324858285649,1.652324858285649,0.5470460699252399,-0.6322982842979248,家电
D_star,115.0,-6.75787928032704e-17,1.004376388524024,-0.8685568324596944,-0.8685568324596944,-0.8685568324596944,-0.7384276930030005,-0.3434017174791952,0.4039090950398866,2.0844143059548346,3.7082017864951786,3.884431347816571,1.8032201859324037,3.4480125303879596,家电
OI,115.0,0.12116887512555158,0.5358528318389968,-0.8137451420671543,-0.801413179841154,-0.645632911353082,-0.31004096669996417,0.0968143891114316,0.5335697040479029,0.9257681098841339,1.3753798449563324,2.1565902466189986,0.547621032731171,0.7187730547108084,家电
ET,115.0,-0.03152520048991619,0.21124197134290507,-0.5022400813691226,-0.5014819769553269,-0.45098969440904785,-0.1532461894812587,-0.0196727826749467,0.1445704382569062,0.2735591008449793,0.3554689289957234,0.3936304092794258,-0.3672879929132901,-0.3939869994202261,家电
premium,115.0,0.029377391304347827,0.15363652141477702,-0.4045,-0.31253200000000003,-0.18863,-0.04625,0.0133,0.0889,0.26167,0.5169439999999998,0.7261,0.9608337639413219,4.078051465730717,家电
mom_1w,115.0,0.5473652173913044,2.0525932830499234,-5.1242,-4.546166,-2.68938,-0.9249,0.5349,1.9988000000000001,3.5578,3.92238,4.7568,-0.3139480192316871,-0.2959723009259836,家电
M1_star,115.0,0.3141888897066418,1.3114601456755284,-1.1540040371432432,-1.0741190539065422,-0.8573255075570201,-0.41593614279111957,-0.0003356751712366,0.507215088303026,2.276805132003637,5.906393091826558,7.180042525419005,2.792697128239724,10.044360335436524,家电
M2_star,115.0,0.18690580958652597,1.1927027561498602,-1.822275020741301,-1.6108626377903108,-1.261811265066456,-0.6411867205037292,-0.0140151175826266,0.6371051538812306,2.335903948641642,3.945369997551826,5.169280157179443,1.5441813631770396,3.60884789887423,家电
Y_star,115.0,0.32509476485982763,1.0998176581377848,-1.0276828472287556,-0.9370641841859837,-0.8365037033504108,-0.2746904260748677,0.1418379217004111,0.5245040900970503,2.5099151358662675,5.197104845199361,6.089889083699104,2.7693986655661598,10.43383586209636,家电
Y,115.0,0.0704720014100932,0.895012611238393,-1.5262741495587495,-1.5262741495587495,-1.5262741495587495,-0.5528199424273006,0.0117534505107187,0.7952480300931487,1.5250386561955784,1.5250386561955784,1.5250386561955784,-0.08619390622048355,-0.8302605822604829,旅游
D_star,115.0,-1.206764157201257e-17,1.0043763885240233,-1.3322912737341872,-1.2771773049125672,-1.0428901124825285,-0.7515353549083226,-0.1668153647150309,0.38482884659547056,1.5953197707527644,3.5431910064377337,4.431620223156177,1.7397653488903262,4.331448740854114,旅游
OI,115.0,-0.03494566781320517,0.5645308312466774,-1.058997679786233,-0.9921993932957396,-0.8215225929427346,-0.47277482594081305,-0.015209039200103,0.232254780879177,1.1384716770800443,1.6136710701321155,1.8546624336886235,0.8367214694324248,1.2056138050841234,旅游
