author,comments,reply_comments,reply_authors,update
兴奋地楚留香,汽车行业带动上下游产业对国家的贡献是显而易见的，结果涨得费劲,,,08-25
陆肘Z,什么时候可以多加几只股票进来啊，少的可怜。,,,08-22
股友uPjpiz,指数涨这么多，到底是哪支汽车股在涨呀？,,,08-22
股友8e5785U368,你看看江淮，你到底跟谁,,,08-22
股友613r90Z062,今天的目标看来是为突破3800，所以要涨大市值的。,,,08-22
大发腾达的周瑜,$供销大集(SZ000564)$$正和生态(SH605069)$$汽车整车(BK,,,08-22
敢于割肉,感觉今天要有机会的话，应该在昨天顶住了抛压,,,08-22
江湖股者,汽车板块就是仅次于房地产一样垃圾，没有一只拿得出手,,,08-21
创越的力量,这个指数根本不准。指数新高了，却没有一只个股是新高的，怎么解释？,,,08-21
开朗之圣手书生,$汽车整车(BK1029)$$长安汽车(SZ000625)$,,,08-20
游资坨,我买了个板块第一，优秀,,,08-15
常睿懂事涨,千里科技，动力新科，都涨停了，福田3年多，1089个交易日没涨停过，,,,08-20
梦境的游人,整车股创新高了，我的还没回本儿,,,08-18
股友09888X19p7,捷佳伟创2025年一季度业绩表现强劲，营业总收入同比增长58.95%，净利润增长,,,08-14
股友K29603e185,整车板块就是边角料,,,08-14
股友P5cxVf,谁能想到这个板块的龙头会是长安B,,,08-14
陆肘Z,汽车零部件从最初的800涨到了4万多，汽车整车这个玩意儿怎么还在1000多，谁能,,,08-11
静听东来,明天创新高能岀来一两个能打的不！,,,08-11
江湖股者,整个市场似乎把汽车整车板块遗忘，长城那个魏孙子是罪魁祸首,,,08-13
聪明的想爱泉7,这还是人干的事情吗？你看看指数都涨到什么程度了。。。,,,08-13
股友8e5785U368,又是倒数,,,08-12
股友P5cxVf,啥时候新高？？？明天吗？,,,08-11
江湖股者,这垃圾板块，实数严重失真，板块里面除了江淮，躲过牛市,,,08-08
股友P5cxVf,板块不突破，任何个股的拉升都等于圈圈,,,08-08
股友GE0T2W,冲啊,,,08-08
股友Po9NZD,$汽车整车(BK1029)$,,,08-07
享界s9厂长,倒数第一,,,08-05
被按着摩擦的韭菜,大资金什么时候轮动到整车？全仓在整车。,,,08-04
编号391015,汽车基本上见顶了，历史新高了,,,08-01
才望兴隆de令狐冲,……,,,08-01
蕙质兰心的鲁菡荧,你这个板块涨的很多吗，跌那么狠,,,07-31
股友P5cxVf,不明白除了江淮其他几个汽车权重这段时间也没涨啊，怎么板块看起来涨的还可以,,,07-31
梦境的游人,整车到头儿开始回调,,,07-31
短线实盘侠,海马股中有退市风险的ST价格都比你高许多，海南唯一有新能源资质的整车车企，自贸区,,,07-30
才望兴隆de令狐冲,金龙最拉基,,,07-30
股友7G92x26182,新能源汽车板块近期新增投入聚焦于技术迭代与产能扩张，头部企业加速布局固态电池和8,,,07-30
才望兴隆de令狐冲,你这个拉基倒数第一,,,07-28
江湖股者,这垃圾板块怎么都轮不到了呢，几个月没有一只涨幅单天上5个点的,,,07-23
被按着摩擦的韭菜,大盘都3600了，这个拉几整车板块，一点动静都没有，拉几魏还有影响吗？？？？,,,07-23
被按着摩擦的韭菜,整车板块，狗都不买，很长时间没轮动到了。,,,07-22
股友X79k156287,新王再现！持有无虞……,,,07-22
焦急的张丹5,赛力斯最拉鸡的之一,,,07-21
管理咖啡馆,看到没？基建ETF（516950）开盘就冲涨停，国家队这次玩真的！1.2万亿砸下,,,07-21
基民l316920C10,没钱买,,,07-21
股友eFCgsX,买二手车,,,07-21
棒棒2024,还是贵,,,07-18
股友ij5A2F,〒_〒_^,,,07-18
股友P5cxVf,汽车板块看起来是突破下降压制线了，但是我的个股还是垃垃圾圾，加油啊,,,07-17
你的天空8,汽车炒反内卷炒不起来,,,07-17
财之海洋,历史都是惊人的相似，七八月份汽车翻倍吧,,,07-16
才望兴隆de令狐冲,老六,,,07-16
热情的剑山蝶0,汽车股都没人接盘，只能继续维持，或继续涨了，,,,07-15
江湖股者,汽车整车每次就是3秒钟,,,07-15
股友a5699860y5,买赛力斯,,,07-14
万豪4375,002019亿帆医药抗癌药下午可能涨停,,,07-14
被按着摩擦的韭菜,大盘都拉冒烟了，什么时候轮动到汽车板块？？？,,,07-14
静听东来,反内卷整起来！,,,07-13
乐彬呵呵9048,渣渣,,,07-12
布兰妮,汽车行业不是反内卷吗？,,,07-11
江湖股者,整车废了，最好的才1个点,,,07-11
股市战胜,证卷一拉都打压，涨少跌多货出多，现时行情真难说，快进快出不趴窝。,,,07-11
股友c18380k373,我觉得汽车股真的比那外买平台股有价值,,,07-10
梦境的游人,汽车股到头儿，开始回调了这，完了,,,07-10
股友c18380k373,汽车股成股市弃儿,,,07-09
