author,comments,reply_comments,reply_authors,update
韭菜墩子,整个版块没有一个涨停啊,,,08-12
华尔街捡瓶子,正裕工业底部可以进？,,,08-11
目标BMW,跟上板块节奏,,,08-11
龙桂资本,在反内卷下，对汽车零部件板块应该说是明确的利好,,,08-11
猎庄擒龙777,调整到5日线？10日线？还是20日线呢,,,08-08
ggxx121,傻庄也发现，买不完，根本买不完！！！哈哈,,,08-08
monterhunter,这个汽车零部件板块都要上天了！！这板块走出了90度直角！！泡沫上天了,,,08-06
身在罗刹囯,很多次全国哪里下了大暴雨，股市就反映在汽车和汽车零部件，因为泡水车太多了,,,08-06
股市不挨刀,板块3天涨了6个点，我tm一个涨停板没吃到。,,,08-06
韭菜墩子,毓恬冠佳走势表明了这个版块的归宿，哪里涨上来，回到哪里去,,,08-06
静安新金路,okok准备起飞吧,,,08-05
玻璃吃人cap,大家快去看看金钟股份吧双W底箱体横盘两年了恶庄跟你干到底,,,08-05
大A是世界第一,美晨科技高层有很大问题，必须要超控股票,,,08-05
葛大壮,159586都快接不住涌入的资金了，冲鸭弟兄,,,08-05
正义象征,烂股，连板块都涨不过，业绩再好求不顶,,,08-04
sucksid,小纳都跳了那么多香港也如此,,,08-03
山子高科集团,重复昨天的剧本，真是没意思。虽然我的股没有高开大涨，但是也被带崩了，最近一个月这,,,08-01
小偷摸金,这板块最菜的属于德赛西威,,,07-31
大A是世界第一,飞流直下三千尺，空头才是王道,,,07-31
葛大壮,卧龙电驱，资金疯狂抢筹，冲鸭弟兄,,,07-28
有教养的夏聪3,下周炒新能源汽车和配套产业链，中国长安集团起飞,,,07-26
量化投喂大韭菜,拉升的不是时候，水都往西藏跑了。,,,07-21
一手搞跌停,那个是龙头,,,07-17
袅上青云,高位横盘整固，伺机变盘突破。,,,07-16
n140987888001799,$汽车零部件(BK0481)$,,,07-16
宇哥C,其实汽车零部件也是经常有业绩牛股的地方，不要一直觉得科技才有，零部件可以应用到各,,,07-16
坐稳扶好把牛骑,002454国产替代强势突破BBA实际供货,,,07-16
坐稳扶好把牛骑,松芝股份002454国产替代强势进入BBA供应链实际供货,,,07-15
坐稳扶好把牛骑,松芝股份002454主力彰显你实力的时候到了，公交市场大客车龙头，国内外旅游市场,,,07-14
股海无涯回头无钱,加油哦，把整个汽车零部件带下来，发挥发挥你衰仔的能量，再把大盘也带下来。那就千古,,,07-14
基民55Pw899793,真弱的板块,,,07-11
基民55Pw899793,看看大盘也不至于这种样子？,,,07-11
n6053132388761540059,今天一个退市的竟然是当天的龙头票真的笑死我了,,,07-10
谦虚谨慎的曹思妮,汽车零部件涨幅第一名恒立退,,,07-10
财神到到财神,$汽车零部件(BK0481)$,,,07-09
上海夜叔富邦科技,$盛弘股份(SZ300693)$ 充电一分钟，续航百公里。 2024年8月，盛弘,,,07-06
大A是世界第一,黑五，完蛋了,,,07-04
飞黄发财得江别鹤,最和实体经济挂钩的板块却天天跌，悲哀,,,07-01
胆大心细的牛马,选对板块，选错股,,,06-30
飞黄发财得江别鹤,眼红病把小米概念股干翻了,,,06-30
股友I58a526876,今天黑五耶，搞什么鬼，竟然调涨,,,06-27
股友rifH4l,$汽车零部件(BK0481)$,,,06-26
残酷战场,行情走完了，迎来月线级别调整，家人们注意啦,,,06-26
飞黄发财得江别鹤,这个板块全靠北方长龙一个股在涨，奇怪,,,06-26
飞黄发财得江别鹤,本版块第一绿毛股浙江华远,,,06-26
飞黄发财得江别鹤,这个板块的浙江华远天天绿？是怎么回事？,,,06-25
老壁凳,该调整了吧,,,06-25
syl200101018256,$汽车零部件(BK0481)$,,,06-24
葛大壮,300657明天暴涨，买定离手,,,06-24
遥遥令仙,……,,,06-24
悟道逻辑投资,没起飞的马子辈不多了,,,06-24
坐稳扶好把牛骑,特斯拉北美热管理松芝股份,,,06-24
平天大圣,605005二次突破,,,06-24
炒股冠军军哥,军哥，买进汽车首板，半仓浙江世宝。,,,06-24
葛大壮,300450资金加速流入，冲鸭弟兄们,,,06-24
阳光开朗的盛小白,汽车零部件板块，会因为回款问题，个股业绩估计今年都会上来,,,06-20
林703,果然是横久必跌，破位了,,,06-20
飞黄发财得江别鹤,这个板块怎么天天跌？,,,06-18
盘后拍断大腿,中国汽车应该走出海外,,,06-17
金玉十满堂,今天全部清仓了，破20日线了。,,,06-13
股友23780e12X6,前一阵还有说60天是大利好的，好在哪？最多是短期缓解就不错了，根本性的问题就不在,,,06-13
大A是世界第一,看谁跑得快,,,06-13
lo200910,不听劝的现在怎么样了,,,06-13
大A是世界第一,又完蛋了,,,06-13
坐稳扶好把牛骑,松芝股份,,,06-13
上海夜叔富邦科技,$盛弘股份(SZ300693)$ 相当于和比亚迪合作$比亚迪(SZ002594),,,06-12
分享企业发展红利,全在A的唯一希望,,,06-12
分享企业发展红利,木有量,,,06-12
短线看龙头和情绪,全柴动力国企大重组，汽车零部件新能源汽车龙头。所有一线大厂全都发公告60天内结款,,,06-12
股友779N80953f,这个板块还有比腾龙股份更低的吗？都涨2到3倍了，这个还是9月24号行情,,,06-12
想要给你一个未来,涨停的那么多，还带不动你吗？大地电气起飞吧,,,06-12
睿智英明的泽,金鱼汽车，泰哥代工起飞起飞,,,06-12
花开积玉地陆小凤,G够板块别给我泻火，woc,,,06-12
分享企业发展红利,板块低位，可是吸引不到资金,,,06-12
股市需要反人性,现金流周转多了。公司基本面直接改变，很多企业就复活了，业绩直接会咔咔往上涨，股价,,,06-12
防火线,泡沫满天飞,,,06-11
大局观市,一图了解汽车零部件企业应收账款周转天,,,06-11
高飞的家,这个60天可以分分秒秒拖到90天，比如到库后，验收给你托30天，这不很简单嘛,,,06-11
林703,还以为横久必跌，今天竟然向上突破平台了,,,06-11
坐稳扶好把牛骑,$汽车零部件(BK0481)$,,,06-11
葛大壮,517390下午一飞冲天，买定离手,,,06-11
我有很多太阳,$汽车零部件(BK0481)$,,,06-11
有榕乃大,在监管部门持续的反“内卷式”竞争呼吁下，已有车企主动担当，作出不拖欠供应商账款的,,,06-11
军用智能,作为科技工业制高点的人形机器人、工业机器人，接下来必将接替新能源汽车扛起出海大旗,,,06-08
蕙质兰心的吕三仟,汽车零部件马上反弹新高了，大盘马上新高了，特斯拉马上收复失地，国内外整车的股价也,,,06-10
空仓等待低点加仓,相互踩踏，一起玩完,,,06-09
飘逸的夏徐佳蕾,汽车不能玩了，零部件也要凉凉，，,,,06-08
巨眼文明,三根均线粘连，要变盘了,,,06-05
花开积玉地陆小凤,板块。,,,06-05
龙桂资本,国外战火纷飞，我们的制造业是不是应该提高估值了,,,06-02
掐指算涨停,继续涨机会很确定,,,05-31
大青山王老师,破位下跌,,,05-30
股友t2693325i7,看似抗跌就是不涨，卫星上天股价下跌，垃圾，鸡肋一支。,,,05-30
博雅顾投公司,该板块开始下跌。,,,05-29
应该快了吧,你们这些公司能收到笛子得钱吗,,,05-28
猫大师玩股票,阴包阳，双针探底，升势走起,,,05-21
甜美123,华锋股份真是垃圾东西,,,05-21
定海神桩,那些主播都说双顶，太高了，偏偏一定给我冲上去爬另一个大顶去,,,05-21
真假股市,今天板块盘面不好看！,,,05-21
Wall_of_Wealth,【复盘】德赛西威与华阳集团的“相同经历不同命运”,,,05-20
鸿运随,英利汽车(601279）年市盈率-700多，查看中国整个股市倒数第一，自从202,,,05-20
伸腿瞪眼丸,A股最牛板块，天天红,,,05-20
强度决定难度,还是变成了一日游,,,05-19
股友Y773198l27,$汽车零部件(BK0481)$,,,05-18
monterhunter,这个板块真是疯狂了！！月线这么长的大长腿！！呵呵！！你们追吧,,,05-16
韭菜开花时,历史高位,,,05-16
hl567997,零部件涨得好，修车的生意也会跟上去,,,05-16
赤心巡财,纳川股份（300198）公司控股子公司福建万润新能源科技有限公司与清华大学合作，,,,05-16
潜伏的股渣,有没有大哥来拉下鹏翎股份,,,05-16
人生逍遥自在,主线会是汽车零部件吗,,,05-16
一颗绿油的韭菜,这个一直涨的理由是什么,,,05-16
葛大壮,517390加油冲鸭，准备翻红,,,05-16
五六793,出货了,,,05-13
坐稳扶好把牛骑,松芝股份002454墨西哥蒙特雷建厂全面进入特斯拉全球供应链,,,05-12
坐稳扶好把牛骑,上海加冷松芝汽车空调股份有限公司关于拟对外投资设立新加坡、墨西哥和美国全资子公司,,,05-13
坐稳扶好把牛骑,松芝股份002454墨西哥蒙特雷建厂全面进入特斯拉全球供应链，零跑汽车热管理,,,05-12
坐稳扶好把牛骑,小鹏汇天热管理002454,,,05-09
股友X9227521k3,冲上去吧,,,05-09
海棠大鱼TT,智元机器人,,,05-09
坐稳扶好把牛骑,松芝股份002454墨西哥蒙特雷建厂全面进入特斯拉全球供应链,,,05-08
葛大壮,159770最后的高低切好去处，加油冲鸭,,,05-08
mymu,感觉要有涨停参考,,,05-08
坐稳扶好把牛骑,松芝股份002454墨西哥蒙特雷建厂全面进入特斯拉全球供应链,,,05-07
坐稳扶好把牛骑,松芝股份002454墨西哥蒙特雷建厂全面进入特斯拉全球供应链,,,05-06
每天涨一点888666,这个板块梯队很完美啊，1，2，3全部齐了,,,05-06
林园大道,众捷汽车,,,05-06
坐稳扶好把牛骑,002454松芝股份墨西哥蒙特雷建厂全面进入特斯拉全球供应链,,,05-05
坐稳扶好把牛骑,002454松芝股份墨西哥蒙特雷建厂全面进入北美特斯拉全球供应链,,,05-03
股友yNQr60,美国证实！加墨汽车零部件获得关税豁免_——下周汽车零件板块的龙头股准备好了吗？,,,05-02
于大帅团队,中创智领属于新能源汽车零部件板块！己有庄家看好！,,,05-02
Wjq_722,北京需要资金周转可以私我，不用上门，没有套路，利息低,,,05-01
mymu,你是汽车零部件企业吗？为什么关税下跌跌成狗，然后北美有厂子，供货都是大佬级电动车,,,04-30
股友5f8G911681,$军工(BI0490)$$无人机(BI0704)$$汽车零部件(BI0481)$,,,04-30
国服狄仁杰,$汽车零部件(BK0481)$,,,04-30
蓝色星球777,汽配股又发了威,,,04-30
干练的施筱鸿,带带安徽凤凰,,,04-30
林园大道,买入众捷汽车,,,04-30
mymu,你是汽车零部件企业？你下关税下跌的时候因为海外占比跌成狗？现在板块涨的时候你在干,,,04-30
富贵富贵地老顽童,哇塞，热门板块哦，使劲涨，涨好了A杀,,,04-30
知觉Tryno,川普对汽车零件补税，警报解除了,,,04-30
股友5f8G911681,$成飞集成(SZ002190)$$华为汽车(BK0984)$$汽车零部件(BK0,,,04-29
仪态万千的孙港,涨停了，汽零板块板块表现亮眼,,,04-29
睿智英明的怜星1,YYDS兄弟们怎么看,,,04-29
坐稳扶好把牛骑,松芝股份进入特斯拉全球供应链,,,04-29
老王龙头打板,没有涨停预期，冲高就离场，生意宝国光全割了，冲高也撤，四川金顶低吸，开盘情绪符合,,,04-29
葛大壮,561100加油冲鸭，马上翻红，暴涨特涨,,,04-29
股友5f8G911681,$汽车零部件(BI0481)$,,,04-29
虫化玉,拉黑所有视频发布者,,,04-24
真假股市,明天继续调整！,,,04-24
猫咪喵喵,一日游,,,04-24
非诚勿扰之者,涨停潮，,,,04-23
葛大壮,561100绝对的龙头，加油冲鸭,,,04-23
葛大壮,159801明天走起，速度抄底,,,04-23
追波逐浪zbzl,板块集体高潮就是短期顶,,,04-23
monterhunter,这板块大长腿是真恶心！！！,,,04-23
蓝色星球777,汽配股王者归来,,,04-23
赣鄱信水有雄鹰,这个板块近期可能出现二十股涨停。,,,04-17
葛大壮,159770速度雄起，马上抄底,,,04-23
成哥玩转市场,冲高以撤以关注分批进入关注,,,04-23
股友kbySdv,一日游,,,04-23
活着是第一要素,加油给信心,,,04-23
葛大壮,561100速度雄起，立马入手,,,04-23
股友7X9i757656,明天是很关键的一天，如果板块这个位置补不回缺口，就危险了，如果5.1之前能收回去,,,04-21
钱多多22,北证的汽零票可以低吸,,,04-20
