author,comments,reply_comments,reply_authors,update
大盘不做梦A,这家伙，今天能不能涨呢？,,,05-30
财富梦想家233,有行情，不是今天，就是节后,,,05-30
守正出奇的基民,希望今天继续涨！！,,,05-30
我喜欢牛牛P,股市养老票，哈哈哈哈，买这个真的是养老一样,,,05-30
一鹿有你啊,套到现在,,,05-30
睿智财深媒介,波动太小了，我喜欢波动大的,,,05-29
操盘王杰,稳健上行，非常值得入手！,,,05-29
老蔡老舅,今天看机会买，还能涨,,,05-29
灵活的尺度,这个票适合避险,,,05-29
龙头尽头是什么,看涨,,,05-29
红酒红牛红红红,大盘今天该涨了，食品饮料也应该跟上,,,05-29
冰彤财富,食品饮料板块还能涨,,,05-29
股友6000113r6i,买点ETF风险小，问题不大,,,05-29
反斗理财,板块已经新高了,,,05-29
天上财翼,高开高开,,,05-29
爱炒股生活,很不错，逆势而上,,,05-28
深蓝十字星X,昨天买你是对的,,,05-28
夏智妍,这边涨那边跌算对冲吧,,,05-28
老袁讲A股,我就知道食品饮料可以的,,,05-28
加仓若隐若现Zzz,算是稳定的产品,,,05-28
财经老仲,我的科技和你比真的是勾丝,,,05-28
郑小白讲股,还行吧,,,05-28
且醉待山雨Y,买一点，买一点，望新高,,,05-28
是我太自作多情A,真好,,,05-28
自由之境探索者,准备把科技都卖了，买点传统行业吧,,,05-27
平凡世界里的浮光掠影,食品饮料起飞！！！,,,05-27
纵横四海的闲云,不应该，跌不动牛呢？,,,05-27
悠悠岁月的旅行箱,飞起来！！,,,05-27
随时起航的舵手,当你不在迷信科技的时候，就开始赚钱了。。。。,,,05-27
随性绽放的花火,还是可以的，至少指数是红的啊，哈哈哈哈,,,05-27
随波逐流的琴弦,干了！求个稳吧，被割得毛都不剩了,,,05-27
天马行空的梦想家,又是这么多下跌,,,05-27
荒野中的独立歌声,涨的就好，止跌也行,,,05-27
心随自然的画家,还是这个稳健啊，配置,,,05-27
我喜欢牛牛P,年底能不能站上4000点？,,,05-26
谈恋爱耽误我赚钱,一眨眼就变绿的了，才一周没看。。,,,05-26
大盘不做梦A,能紧跟指数就不错了,,,05-26
没有贪欲终成god,收盘收回,,,05-26
越炒越韭菜,钱包下跌,,,05-26
他罘在乎钱,韧性还是有的，坚持住啊！！,,,05-26
A股虐我千百遍,食品饮料，里面放一堆酒，大A喜欢喝酒？,,,05-26
大A常胜将军,应该不会亏,,,05-26
像我这样贫穷的人55,明天能不能涨啊，这个市场啊,,,05-26
没钞疯233,还算好了，这个票,,,05-26
守正出奇的基民,跟踪完美，6,,,05-23
游荡的云影,早上的涨幅居然能回落,,,05-23
ETF探索者,看好！,,,05-23
持基的猫,价格上探有力，周五，避险情绪导致回落，下周没有意外的情况下，会涨,,,05-23
风险大韭菜长,接下来几个月，饮料消费都会上涨,,,05-23
明日财富预言家,下周，能不能涨到我头晕目眩啊,,,05-23
小确幸理财,夏天了，酒类消费旺季了,,,05-23
投资的黑天鹅,这稳得日线看起来像平滑了一样。。。,,,05-23
平稳增值派,白酒消费,,,05-23
破晓的净值曲线,还有比这个稳的吗？,,,05-23
ETF探索者,主打稳,,,05-22
跟踪大盘的小雷达,15号买的，哭了,,,05-22
价投践行人,白酒也算食品吗。。,,,05-22
小确幸理财,稳定，真稳定啊,,,05-22
分散投资教主,这个好还是，消费好,,,05-22
风险大韭菜长,之前的大跌，这家伙，很快就反弹了，就是我买入的理由,,,05-22
大小盘通吃,经理也算经历过牛熊的人了，哈哈哈,,,05-22
股债平衡艺术家,美债20年期上升，聪明人已经在找避险资产了,,,05-22
平稳增值派,有机构持仓，挺好,,,05-22
A喜你入三分,今天包涨，昨天的冲高不就反映有反弹的需求吗,,,05-21
野味e少女心,不低开就不错了,,,05-21
四月的蔷薇1,大家怎么看宏观趋势？,,,05-21
韭菜A刺心,高开我就直接追！,,,05-21
我的口袋由你独家赞助,昨天的上涨都没多少力，冲高撤回一半多,,,05-21
唯金是也,我是抄底了,,,05-21
心静无钱zz,涨,,,05-21
q牛人自扰,涨吧，别一日游啊,,,05-21
股友x21196L970,0.684的本，回本不玩了，撤了,,,05-21
股友86K879m862,新一轮降息来了诶，食品饮料应该好涨的吧,,,05-21
自由之歌唱者,抄底,,,05-19
平凡世界里的浮光掠影,跟大盘了，哎,,,05-19
随风飘散的诗意,大盘指数红我们就有些许机会红,,,05-19
我的口袋由你独家赞助,还好前天跑了，哈哈哈，刚刚我又回来了,,,05-16
随波逐流的琴弦,看好！,,,05-19
一二三四五666,可以低吸了感觉,,,05-19
A北君,真是没救,,,05-19
心随自然的画家,是在下跌，但是不妨碍我长线布局是吧,,,05-19
自在飞翔的纸鸢,令人失望，今天,,,05-19
跨越时间的信使,我最喜欢这种线了,,,05-19
悠悠岁月的旅行箱,消费数据并不乐观哈,,,05-19
casually随便F,我上来就干山顶上。。。,,,05-19
一鹿有你啊,这把完犊子了,,,05-19
老秋望风口,我反手就是一个抄底，这么低,,,05-16
股友86K879m862,这个。。。还能这么跌的吗,,,05-16
长跌随缘盈亏随心,万万没想到啊,,,05-16
股友x21196L970,什么东西啊，强调消费这么多的政策，没人看见吗,,,05-16
韭菜A刺心,我真的服，这到底为啥,,,05-16
涨跌不哭,我就喜欢捡别人不要的股，671上车的，下周见家人们，哈哈哈,,,05-16
A喜你入三分,还有看好的吗？,,,05-16
股友30d15307U9,下跌总要有个理由吧，就硬跌吗,,,05-16
一鹿有你啊,垃圾,,,05-16
fafa26,今天表现还算坚挺,,,05-15
爱炒股生活,这个ETF，有分红吗,,,05-15
夏智妍,蓄力猛攻！,,,05-15
是我太自作多情A,买了，准备拿半年,,,05-15
老袁讲A股,有在股市赚到钱的吗？我还在回本呢,,,05-15
且醉待山雨Y,没意思，我其他票还是绿的,,,05-15
加仓若隐若现Zzz,为啥白酒持股占比这么高,,,05-15
财经老仲,关键位置技术性回撤,,,05-15
拥抱开放的机遇,食品饮料板块主力流入7个多亿，你分到多少？,,,05-15
分散投资教主,避险优质,,,05-14
小确幸理财,这是什么情况,,,05-14
风险大韭菜长,牛,,,05-14
跟踪大盘的小雷达,小赚咯，落袋,,,05-14
ETF探索者,重仓的家伙们爽了,,,05-14
大小盘通吃,真狠啊，为啥啊，什么逻辑呢？,,,05-14
平稳增值派,就是特征，缓跌急涨是吧,,,05-14
股债平衡艺术家,恭喜在车上的兄弟了,,,05-14
嘎兰合伙人,指数都不动了，哈哈哈哈,,,05-13
操盘王杰,我来,,,05-13
股市救援车,没啥行情，早上还以为会有一波大涨呢,,,05-13
冰彤财富,这个搭配国债还行,,,05-13
穿越牛熊的投资人,保稳,,,05-13
新星实战,安静得可怕,,,05-13
老蔡老舅,今天还能涨？,,,05-13
反斗理财,下午尾盘拉升,,,05-13
安席天天财经,今天入手好机会，主力压着盘面等大家进场呢,,,05-13
时空漫游指南,T+1对吗？,,,05-12
自在如风的吟游诗人,为啥食品饮料里有这么多白酒啊,,,05-12
畅游书海的船长,反正这里能扛能打，管你什么消息呢,,,05-12
寻觅自由的旋律,KSE-30指数涨超9%。哈哈哈哈,,,05-12
随时起航的舵手,买1千手，手续费多少啊，大佬们,,,05-12
漫天繁星的独行人,消费板块是受到中美消息影响吧,,,05-12
淡然一笑过江湖,我就知道稳,,,05-12
天空的蓝透着一种绿,看下周能不能更上一层楼,,,05-09
熊窝探险家,不枉我一路坚持持有你，我就知道你有一天会有对冲效果，哈哈哈,,,05-09
A北君,不愧是你啊，哥们，还好把你放配置里了,,,05-09
香港古力娜扎,逆势上涨啊，哥们,,,05-09
豁达的昆哥,我的其他票都是绿的，还好买这个做对冲，我真服了,,,05-09
欣儿要发财,难得,,,05-09
用钱深至到套牢,大盘还是要去收红的对吗？,,,05-09
抄底请举手手,还好还好,,,05-09
A股小蜜蜂,实在牛啊，今天的股市！,,,05-09
casually随便F,昨天抄底算是抄对了，看下周走势,,,05-09
A北君,收回一半，明天就有机会上涨呢,,,05-08
豁达的昆哥,下午尾盘再给你们拉一个,,,05-08
自在飞翔的纸鸢,底部布局一下,,,05-08
随风飘散的诗意,下午大概多少收盘呢？,,,05-08
自由之歌唱者,食品饮料主打一个复杂环境中，逆势上涨,,,05-08
随波逐流的琴弦,下午跳水,,,05-08
心随自然的画家,提振消费的政策出了蛮多了,,,05-08
casually随便F,今天早上猛猛抄底,,,05-08
跨越时间的信使,不看好,,,05-08
老秋望风口,我真的信了，然后，口袋空了,,,05-07
香港古力娜扎,我去，早上的利好算什么？玩呢？,,,05-07
赚个小钱ss,不是明天就是后天，政策利好还是充分的,,,05-07
世上没有如果cc,今天被套的兄弟应该挺多的,,,05-07
欣儿要发财,这个指数一直在这个位置，是靠什么撑着,,,05-07
隔壁王学长X,看看怎么个事，抄底！！,,,05-07
A股小蜜蜂,短暂啊，真是,,,05-07
怀念18年的夏天W,消费市场在刺激了，兄弟，别绿了,,,05-07
天空的蓝透着一种绿,食品饮料不是应该迎来上涨吗，又是降准，又是刺激消费的,,,05-07
野味e少女心,看消费数据刺激吧,,,05-06
冷不丁梆梆就涨停,食品饮料里面整机器人持仓？真专业,,,05-06
A喜你入三分,我直接一手抄底，钱流向了，科技，过两天就流回来，信不信,,,05-06
A喜你入三分,我直接一手抄底，钱流向了，科技，过两天就流回来，信不信,,,05-06
我的口袋由你独家赞助,你今天的走势有点让我失望,,,05-06
股友86K879m862,啥啊，五一消费数据很不错啊，消费潜力是有的，你别这么搞啊,,,05-06
心静无钱zz,钱被科技暂时抽走了,,,05-06
韭菜A刺心,白酒企业的利润都蛮不错的啊,,,05-06
长跌随缘盈亏随心,中信证券：中国势必要走通“双循环”加速完善社会保障并激发内需潜力是政策的必选项,,,05-06
唯金是也,抄底，机会来了,,,05-06
股友x21196L970,这个ETF的走势不会是领先版本吧？,,,05-06
基金资讯,招商基金管理有限公司关于旗下基金投资关联方承销证券的公告,,,05-06
