author,comments,reply_comments,reply_authors,update
旷课来大A,消费昨天利好全部高开低走很诡异，大盘破了新高向上空间不大了，做好防御准备，重点关,,,08-13
长韭才赢,田野股份，低位放量，未来可期,,,08-14
蓝色的烟火,国联水产,,,08-14
股友WB5GyV,$食品饮料(BK0438)$,,,08-13
股友WB5GyV,$食品饮料(BK0438)$,,,08-13
股友WB5GyV,$食品饮料(BK0438)$,,,08-13
夜之宴,食品横盘半年了严重跑输指数。轮动也要轮到！年底节假日多！有戏！现在潜伏。吃肉！到,,,08-12
一剑彪血红西蕃,再震荡下杀个一个月等我军军出了就来买你们这些地沟食品要玩就玩30厘米的北证那8个,,,08-11
防火线,化学添加剂不能食用,,,08-11
做棵小韭菜拉牛市,这个板块被遗忘太久啦，指数上去啦个股还在3300,,,08-08
红黄土豆,都是处生，出利好就出货,,,07-29
hggshjs,套那么多估计明跌停,,,07-30
静心收益,食品板块缺少龙头,,,08-01
小库库小,食品板块是被诅咒了吗？,,,08-04
以伤换杀,弱于大盘太多了,,,08-05
葛大壮,趁回调低吸卧龙电驱，冲鸭弟兄,,,08-07
以伤换杀,食品，猪肉，电力，地产，教育，农业，白酒，旅游，这些消费板块不要玩,,,08-06
创世纪20160101,一百一十八个食品股，起码一百一十个被腰斩了吧。有的甚至腰斩再腰斩再腰斩的。。可食,,,08-06
高laoshi,佳隆股份眼见为实，股谚讲；macd水上金叉，三曰线上穿四曰线，快快进场做波段，佳,,,08-06
高laoshi,佳隆股份眼见为实，股谚讲；macd水上金叉，三曰线上穿四曰线，快快进场做波段，佳,,,08-06
缺米下锅等你送米,一路穿过3400.3500，3600.我却在大消费里面看着，期待着轮到大消费来一,,,08-04
股友LXwgs5,如果周一真有避险情绪，这个板块能有点行情嘛,,,08-03
庄狗作妖,8月底，3600奶粉钱将陆续发放，看好8月份食品饮料股。记得做差价,,,08-04
小库库小,食品板块不配活着吗？,,,08-02
只买集合竞价,毛衣没谈好食品饮料农林牧渔接着奏乐接着舞！,,,08-01
基你太美了,这板块现在,,,08-01
小库库小,食品板块被下蛊了吗？,,,08-01
旺市如意,消费不涨就是假牛市,,,07-29
心态要好啊,既然没想拉，那昨天拉那一下干什么为了出货？,,,07-31
旺市如意,这板块真是一坨,,,07-31
旺市如意,这板块没了,,,07-31
股友N3w1659932,消费食品救灾，要不要涨一波？,,,07-29
大头不头大,食品该涨了,,,07-29
hggshjs,这他么恶心,,,07-29
一卖就跌买就涨,婴童概念没把板块带起来反而变相带崩加速出货了，真的恶心,,,07-29
hggshjs,有点缺火了,,,07-29
股友050Xz52095,三分钟,,,07-29
小库库小,这破大消费还有机会吗，连补涨都没有？,,,07-26
小库库小,食品板块是个什么意思？别的板块上天了。,,,07-23
股友6563352iC6,食品版块，今天全靠新股支撑，不然又要下跌了,,,07-23
股友6563352iC6,食品现在还在历史高位。其他板块都在涨，就食品板块不动。,,,07-22
高laoshi,热浪高温，热浪会大幅推高食品饮枓价格，维维股份植物蛋白饮料(液态豆奶)，““维维,,,07-21
高laoshi,【商务部：1-6月在线餐饮占餐饮收入比重增长1.9个百分点】,,,07-21
高laoshi,由于维维股份公司董秘找不到踪影，请问上市公司自今年5月高温热浪以来，公司植物蛋白,,,07-18
柯梦醉,这段期间别碰食品消费，要去买科技和算力，还有创新药。,,,07-18
招财之熊,有没有杭州的股票？我要抄底,,,07-20
万豪4375,全国7省气高温35到39夜度。,,,07-19
三木成林燊,硬生生把缺口补了，这回补，这强洗盘，牛逼！下周开始，起飞了！,,,07-18
万豪4375,饮料销售比空调卖的好几倍,,,07-18
万豪4375,高温天气连续不断，饮料销售几何式爆发！市区、景区七八倍增加销量,,,07-18
旺市如意,不涨消费那就全部存银行,,,07-18
高laoshi,热浪高温，热浪会大幅推高食品饮枓价格，维维股份植物蛋白饮料(液态豆奶)，““维维,,,07-18
高laoshi,热浪会大幅推高食品饮枓价格，拧爆汽水，vc软包饮料，汽非凡，等夏季饮品销量暴增，,,,07-17
快走别回头,物价一直涨，股价不涨，是何道理，夏季了，食品饮料消费量倍增，不像电力，用电高峰就,,,07-17
万豪4375,高温期间饮料销量暴增2到三倍。,,,07-17
股友sI2j0l,@益客食品有点邋遢,,,07-17
求求了别跌了,……,,,07-17
小库库小,板块被资金抛弃了,,,07-17
葛大壮,生意宝牛气冲天，冲鸭弟兄,,,07-17
高laoshi,【气候变化加剧极端高温多国生产生活受影响】今年北半球入夏以来，多国遭遇极端高温侵,,,07-16
积玉地段正淳,天天消费，钱都没有,,,07-17
糖火烧,国内食用油价格上涨，其中玉米油价格上涨50%，棕榈油价格上涨37%。,,,07-16
高laoshi,【建仓加仓新老基金多维度布局】在震荡的市场行情中，基金经理的建仓节奏悄然提速。一,,,07-16
牛市来了我买房,涨三周，一天就跌回去了，这市场小散们能挣钱？？？？,,,07-15
小库库小,食品饮料横盘半个月了。,,,07-14
小库库小,横盘一个月了，赶紧涨吧。,,,07-13
小库库小,食品狗了好久了，什么时候拉中阳。,,,07-12
股友6563352iC6,现在现在所有指数都是建立在银行之上。所有个股都没怎么涨。银行股一直往上拉。就是等,,,07-11
股命先生,什么玩意啊你,,,07-10
中股是个老六,北交所食品股没落了，5.6月都没怎么涨，这个七月有拉胯的不行,,,07-10
股友hjtZmn,$食品饮料(BK0438)$,,,07-09
股命先生,这版块一群,,,07-09
高laoshi,【美政府再借口“国家安全”，将推动各州禁止中国买家购买农地】美国农业部长罗林斯当,,,07-09
小库库小,明天食品饮料板块应该要爆发了。,,,07-04
灵性翻倍,要点燃板块，最好选择煌上煌,,,07-04
旺市如意,听说消费板块都是搞供应链金融的，如果暴雷的话就完了,,,07-04
进制元8126,除了消费，啥都在涨,,,07-02
有风度的龙猫,这指数一直在涨，是假的吧？小盘股里，就算涨一半跌一半，就会扯平了。大盘股除了东鹏,,,07-02
高laoshi,【下半年还会发餐饮消费券吗？上海市商务委正在研究可行方案】记者从上海市商务委获悉,,,07-01
中股是个老六,这轮大盘大涨，食品板块严重落后了。,,,06-27
高laoshi,【下半年还会发餐饮消费券吗？上海市商务委正在研究可行方案】记者从上海市商务委获悉,,,06-30
股友13W5092U78,食品饮料何时变成了毒药？！,,,06-29
求求了别跌了,差不多了吧，快给我涨,,,06-27
股友67y2A22137,这个急牛让人不踏实,,,06-26
四面楚歌121007,哪里来会哪里去,,,06-26
旺市如意,促进消费等于砸盘消费板块,,,06-26
田野里守望者,食品不行啊，没有主力拉啊,,,06-26
以伤换杀,弱于大盘，消费不能玩的,,,06-25
股友6563352iC6,牛来了和食品好像没有关系,,,06-25
扶摇直上de卡卡西,昨天发文件，刺激消费，今天就涨证券。,,,06-25
创世纪20160101,整天食品板块，最牛的是st加加，最近几年，从一块多涨到八块多，涨幅吊打食品板块全,,,06-25
股友6563352iC6,牛来了吗,,,06-24
丁元英01,食品熄火了？,,,06-20
严谨的南宫菡,7连跌，二代能力堪忧啊南南，一直找跌。且企业都是家族成员，谁会看好么？,,,06-21
收割机6666,今天是业绩好的红，业绩差的绿,,,06-20
daemon1229,日线周线双背离，得出来观望了,,,06-19
点石来财的珮柔,板块所有个股几乎全绿,,,06-19
旺市如意,垃圾板块连跌5天,,,06-19
股友7L826m3999,最烂的版块丶整个版块有一个牛股吗？全是跌10几年20年的股,,,06-18
旺市如意,这么垃圾，连反弹都没有，什么时候才能涨，促消费闹麻了,,,06-18
燕赵之葵,航天军工、石油探踩、大科技的走强，大消费相关概念板块必然沉寂，市场资金有限，食品,,,06-18
旺市如意,畸形板块，个股都在低位，板块却在高位，,,,06-16
记忆犹新的鱼,早就预判要大调整了，哈哈，我根本不怕主力,,,06-13
爱发飙的蜗牛,食品饮料属于避险吗？,,,06-13
燕赵之葵,食品饮料板块的人气越来越低了，意谓着散户朋友越来越少了，痛骂的越来越多了，意谓着,,,06-12
飞奔的瓜牛,这板块基本没怎么涨，跌是疯狂的跌，是搞笑板块吗,,,06-12
秀外慧中的祝莉,贝因美压的太狠了吧,,,06-04
永不追高1028,看着像变变盘，一浪比一浪高，不知道会不会补涨一下乳业,,,06-04
股市战胜,高开都低走，套利出货有，跌多涨身少，今天不好搞。,,,06-05
vvvccg,食品饮料告一段落了，这个月不想了,,,06-06
国色天香的悦儿1,明天跌多少,,,06-08
秀外慧中的祝莉,资金就不能给贝因美一点？,,,06-09
我的个神咋办2024,周一食品板块应该有机会了吧，涨二天，已经缩量调整二天了，静态结果。。。,,,06-07
大道独行_AK,原来又套人,,,06-05
积玉地段正淳,实话说，自今年以来，食品板块是真的强，随便找一个食品，都是涨！,,,06-03
小卡子,6.22加仓,,,06-05
